,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
237,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TRY ASSISTS,0,0.0,Attack
238,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TRY ASSISTS,0,0.0,Attack
239,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TRY ASSISTS,0,0.0,Attack
240,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TRY ASSISTS,0,0.0,Attack
241,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TRY ASSISTS,1,0.25,Attack
242,Elliot Daly,Back,England,Wing,29,52,Saracens,TRY ASSISTS,1,0.25,Attack
243,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TRY ASSISTS,1,0.25,Attack
244,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TRY ASSISTS,0,0.0,Attack
245,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TRY ASSISTS,0,0.0,Attack
246,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TRY ASSISTS,0,0.0,Attack
247,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TRY ASSISTS,0,0.0,Attack
248,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TRY ASSISTS,3,0.75,Attack
249,Francois Cros,Forward,France,Back row,27,11, Toulouse,TRY ASSISTS,0,0.0,Attack
250,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TRY ASSISTS,0,0.0,Attack
251,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TRY ASSISTS,0,0.0,Attack
252,Gabin Villiere,Back,France,Wing,26,8, Toulon,TRY ASSISTS,0,0.0,Attack
253,Gael Fickou,Back,France,Centre,27,66, Racing 92,TRY ASSISTS,0,0.0,Attack
254,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TRY ASSISTS,0,0.0,Attack
255,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TRY ASSISTS,0,0.0,Attack
256,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TRY ASSISTS,0,0.0,Attack
257,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TRY ASSISTS,1,0.25,Attack
258,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TRY ASSISTS,0,0.0,Attack
259,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TRY ASSISTS,0,0.0,Attack
260,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TRY ASSISTS,0,0.0,Attack
261,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TRY ASSISTS,0,0.0,Attack
262,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TRY ASSISTS,0,0.0,Attack
263,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TRY ASSISTS,0,0.0,Attack
264,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TRY ASSISTS,0,0.0,Attack
265,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TRY ASSISTS,0,0.0,Attack
266,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TRY ASSISTS,2,0.5,Attack
267,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TRY ASSISTS,0,0.0,Attack
268,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TRY ASSISTS,0,0.0,Attack
269,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TRY ASSISTS,0,0.0,Attack
270,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TRY ASSISTS,0,0.0,Attack
