,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
121,Magnus Bradbury,168,0,0,0,0,0,184,28,0,39,12,1,1,0,21,0,1,0,0,3,1,1,0,0,4,0,0,0,Scotland,Back row,14, Edinburgh,26,Forward
122,Manuel Zuliani,42,0,0,0,0,0,33,4,0,4,1,0,0,0,7,0,1,1,0,0,1,1,0,0,1,0,0,0,Italy,Back row,0, Benetton,21,Forward
123,Marco Fuser,78,0,0,0,0,0,19,6,0,10,5,1,1,0,17,0,2,0,0,0,1,1,1,0,3,0,0,0,Italy,Lock,36, Newcastle Falcons,30,Forward
124,Marco Zanon,219,0,0,0,0,0,138,22,44,28,7,1,4,0,31,7,0,1,1,2,1,1,0,0,0,0,0,0,Italy,Centre,7, Benetton,24,Back
125,Marcus Smith,383,2,1,5,17,0,412,40,980,166,129,3,10,0,29,6,0,0,2,1,3,1,0,0,0,0,0,0,England,Fly-half,5,Harlequins,22,Back
126,Mark Bennett,59,0,0,0,0,0,124,12,0,18,6,0,4,0,3,0,0,0,0,1,3,0,0,0,1,0,0,0,Scotland,Centre,22, Edinburgh,29,Back
127,Maro Itoje,400,1,0,0,0,0,153,37,0,57,21,2,1,2,39,11,3,6,6,4,5,7,1,0,23,0,0,0,England,Lock,51,Saracens,27,Forward
128,Matt Fagerson,235,0,0,0,0,0,173,32,0,39,8,1,7,0,36,1,0,4,0,2,1,1,0,0,5,1,0,0,Scotland,Back row,17, Glasgow Warriors,23,Forward
129,Matthis Lebel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Wing,1, Toulouse,22,Back
130,Max Malins,320,0,2,0,0,0,290,29,35,38,14,5,7,1,22,4,2,0,0,7,5,1,0,0,1,0,0,0,England,Fullback,10,Saracens,25,Back
131,Maxime Lucu,40,0,0,0,0,0,3,2,250,34,32,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,France,Scrum-half,2, Bordeaux,29,Back
132,Melvyn Jaminet,382,0,2,9,12,0,253,40,1265,51,13,2,9,1,5,1,0,0,0,7,3,1,0,0,2,0,0,0,France,Fullback,6, Perpignan,22,Back
133,Michael Lowry,80,2,1,0,0,0,114,13,0,18,5,0,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,Ireland,Fullback,0,Ulster,23,Back
134,Michele Lamaro,377,0,0,0,0,0,157,28,71,45,20,3,1,0,86,15,2,2,1,2,1,2,0,0,4,0,0,0,Italy,Back row,10, Benetton,23,Forward
